AÑO_TRIMESTRE,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE(%)
201504,1610511,7273265,22.14
201601,1647186,7300918,22.56
201602,1681117,7300918,23.03
201603,1719075,7300918,23.55
201604,1728459,7300918,23.67
201701,2638171,7337449,35.95
201702,1776768,7337449,24.22
201703,1807827,7337449,24.64
201704,1818094,7337449,24.78
201801,1826350,7412566,24.64
201802,1857309,7412566,25.06
201803,1875396,7412566,25.3
201804,1876271,7412566,25.31
201901,1874506,7592871,24.69
201902,1890765,7592871,24.9
201903,1915409,7592871,25.23
201904,1916910,7592871,25.25
202001,1957333,7732161,25.31
202002,2025140,7732161,26.19
202003,2069115,7732161,26.76
202004,2088680,7732161,27.01
202101,2139304,7823334,27.35
202102,2165658,7823334,27.68
202103,2157112,7823334,27.57
202104,2171274,7823334,27.75
202201,2240695,7873316,28.46
202202,2248809,7873316,28.56
202203,2261755,7873316,28.73
202204,2269823,7873316,28.83
202301,2298520,7907281,29.07
202302,2303696,7907281,29.13
202303,2251960,7907281,28.48
